Round,Accuracy (%),Avg Latency (ms),Energy (Relative Units),Round Time (s)
1,57.75,50.17740726470947,0.19999999999999998,0.614858865737915
2,59.75,45.71332931518555,0.19999999999999998,0.5621020793914795
3,69.25,43.207621574401855,0.19999999999999998,0.5327799320220947
4,68.75,48.94833564758301,0.19999999999999998,0.5898935794830322
5,72.75,39.203572273254395,0.19999999999999998,0.499051570892334
6,71.75,42.33582019805908,0.19999999999999998,0.5288245677947998
7,71.5,39.392709732055664,0.19999999999999998,0.5031547546386719
8,69.25,37.349486351013184,0.19999999999999998,0.4813268184661865
9,71.25,42.11385250091553,0.19999999999999998,0.542090654373169
10,72.5,31.121087074279785,0.19999999999999998,0.4285852909088135
11,75.75,45.609259605407715,0.19999999999999998,0.5690827369689941
12,77.5,40.61236381530762,0.19999999999999998,0.5070540904998779
13,77.75,44.700074195861816,0.19999999999999998,0.5514891147613525
14,77.0,39.5305871963501,0.19999999999999998,0.544302225112915
15,77.25,40.47856330871582,0.19999999999999998,0.5163960456848145
16,74.5,43.88277530670166,0.19999999999999998,0.5537049770355225
17,72.5,39.307570457458496,0.19999999999999998,0.501089334487915
18,76.0,37.20998764038086,0.19999999999999998,0.4718348979949951
19,76.5,42.963457107543945,0.19999999999999998,0.530811071395874
20,77.25,43.549370765686035,0.19999999999999998,0.5407049655914307
